ticker,start_date,end_date,months,min_close,max_close,avg_close,latest_EMA_20
AAPL,31-01-2018,31-12-2019,24,157.7400055,293.6499939,200.33,212.72
AMD,31-01-2018,31-12-2019,24,10.05000019,45.86000061,24.02,28
AMZN,31-01-2018,31-12-2019,24,1447.339966,2012.709961,1726.18,1743.62
AVGO,31-01-2018,31-12-2019,24,219.0299988,318.3999939,263.87,277.24
CSCO,31-01-2018,31-12-2019,24,41.54000092,55.95000076,47.63,48.18
MSFT,31-01-2018,31-12-2019,24,91.26999664,157.6999969,117.14,126.37
NFLX,31-01-2018,31-12-2019,24,267.6199951,391.4299927,324.69,316.72
PEP,31-01-2018,31-12-2019,24,100.25,137.1699982,120.09,126.31
TMUS,31-01-2018,31-12-2019,24,55.70000076,82.66000366,69.47,73.07
TSLA,31-01-2018,31-12-2019,24,185.1600037,418.3299866,295.65,299.06
